/Users/xiaochoumao/Documents/github repo/摩尔庄园 5.5.0/fresh-port/01-cracked/Payload/MoleWorld.app/MoleWorld:
Indirect symbols for (__TEXT,__picsymbolstub4) 850 entries
address    index name
0x00885f90   394 _CGRectContainsRect
0x00885fa0   395 _CGRectEqualToRect
0x00885fb0   397 _CGRectGetHeight
0x00885fc0   398 _CGRectGetMaxX
0x00885fd0   399 _CGRectGetMaxY
0x00885fe0   400 _CGRectGetMidX
0x00885ff0   401 _CGRectGetMidY
0x00886000   402 _CGRectGetMinX
0x00886010   403 _CGRectGetMinY
0x00886020   404 _CGRectGetWidth
0x00886030   405 _CGRectInset
0x00886040   406 _CGRectIntegral
0x00886050   407 _CGRectIntersection
0x00886060   408 _CGRectIntersectsRect
0x00886070   409 _CGRectIsNull
0x00886080   410 _CGRectOffset
0x00886090   960 _glAlphaFunc
0x008860a0   961 _glBindBuffer
0x008860b0   962 _glBindFramebufferOES
0x008860c0   963 _glBindRenderbufferOES
0x008860d0   964 _glBindTexture
0x008860e0   965 _glBlendFunc
0x008860f0   966 _glBufferData
0x00886100   967 _glBufferSubData
0x00886110   968 _glCheckFramebufferStatusOES
0x00886120   969 _glClear
0x00886130   970 _glClearColor
0x00886140   971 _glClearDepthf
0x00886150   972 _glClipPlanef
0x00886160   973 _glColor4f
0x00886170   974 _glColor4ub
0x00886180   975 _glColorMask
0x00886190   976 _glColorPointer
0x008861a0   977 _glCompressedTexImage2D
0x008861b0   978 _glDeleteBuffers
0x008861c0   979 _glDeleteFramebuffersOES
0x008861d0   980 _glDeleteRenderbuffersOES
0x008861e0   981 _glDeleteTextures
0x008861f0   982 _glDepthFunc
0x00886200   983 _glDisable
0x00886210   984 _glDisableClientState
0x00886220   985 _glDiscardFramebufferEXT
0x00886230   986 _glDrawArrays
0x00886240   987 _glDrawElements
0x00886250   988 _glEnable
0x00886260   989 _glEnableClientState
0x00886270   990 _glFramebufferRenderbufferOES
0x00886280   991 _glFramebufferTexture2DOES
0x00886290   992 _glFrustumf
0x008862a0   993 _glGenBuffers
0x008862b0   994 _glGenFramebuffersOES
0x008862c0   995 _glGenRenderbuffersOES
0x008862d0   996 _glGenTextures
0x008862e0   997 _glGenerateMipmapOES
0x008862f0   998 _glGetError
0x00886300   999 _glGetFloatv
0x00886310  1000 _glGetIntegerv
0x00886320  1001 _glGetRenderbufferParameterivOES
0x00886330  1002 _glGetString
0x00886340  1003 _glLineWidth
0x00886350  1004 _glLoadIdentity
0x00886360  1005 _glMatrixMode
0x00886370  1006 _glMultMatrixf
0x00886380  1007 _glOrthof
0x00886390  1008 _glPixelStorei
0x008863a0  1009 _glPointSizePointerOES
0x008863b0  1010 _glPopMatrix
0x008863c0  1011 _glPushMatrix
0x008863d0  1012 _glReadPixels
0x008863e0  1013 _glRenderbufferStorageMultisampleAPPLE
0x008863f0  1014 _glRenderbufferStorageOES
0x00886400  1015 _glResolveMultisampleFramebufferAPPLE
0x00886410  1016 _glRotatef
0x00886420  1017 _glScissor
0x00886430  1018 _glTexCoordPointer
0x00886440  1019 _glTexEnvi
0x00886450  1020 _glTexImage2D
0x00886460  1021 _glTexParameteri
0x00886470  1022 _glTranslatef
0x00886480  1023 _glVertexPointer
0x00886490  1024 _glViewport
